RPM,Thrust (kgf),T(N),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),P(W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
0,0.002068655,0.020293507,0.001448532,30.54024574,-0.026709604,0.815717882,0,0,,
773,0.095411645,0.935988238,0.029075052,30.53687698,0.114418558,3.493985418,2.353578117,67.36084544,40.53897527,27.30739647
1082,0.206165008,2.022478732,0.061940134,30.53186127,0.283671792,8.661027785,7.018236775,81.03237802,29.37561313,23.80375788
1367,0.346062763,3.394875708,0.105506064,30.51964073,0.56743747,17.31798772,15.10339401,87.21217644,22.91291369,19.98285072
1691,0.559297512,5.486708589,0.159445684,30.49447472,1.00817677,30.74382103,28.23481801,91.83900071,19.80878755,18.19219254
1993,0.814871468,7.993889104,0.23023834,30.45690514,1.710476732,52.09582757,48.05223167,92.23815785,16.95803587,15.64177989
2309,1.026759083,10.0725066,0.297825852,30.40731133,2.519594421,76.61409198,72.01366994,93.99533177,14.25783582,13.40170008
2609,1.336144796,13.10758045,0.377205912,30.34377853,3.585489225,108.797291,103.057876,94.72467106,12.96499451,12.2810484
2900,1.680116712,16.48194494,0.465865738,30.25952499,4.936134586,149.3650879,141.4775034,94.71925828,11.87550439,11.24838967
3175,2.075352351,20.35920656,0.561294816,30.15691078,6.533981304,197.0446912,186.6222318,94.71061139,11.12060622,10.53239414
3457,2.40369977,23.58029474,0.647472653,30.04208214,8.227798576,247.1802006,234.3955852,94.82781573,10.254885,9.724483449
3712,2.813950746,27.60485682,0.751745392,29.9026049,10.38438232,310.5200818,292.2182667,94.1060768,9.629619593,9.06205721
3955,3.181824446,31.21369782,0.85466808,29.74585983,12.69259289,377.552089,353.9749998,93.75527515,8.98883946,8.427511168
4161,3.595222505,35.26913278,0.961402406,29.57057526,15.33206917,453.3781052,418.9204279,92.39979238,8.582113132,7.929854716
4399,3.966139235,38.9078259,1.059128786,29.38368347,18.16136383,533.6477662,487.9005996,91.4274603,8.128990287,7.432129368
4634,4.411694741,43.27872541,1.174914164,29.15070366,21.71386383,632.9744098,570.1521768,90.07507538,7.737749535,6.969783726
4814,4.791673658,47.00631858,1.268963919,28.93054726,24.98329422,722.7803741,639.7112344,88.50700121,7.490369718,6.629501616
