ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc
61651262,49.6,28.7,0,0,0,-86.4,0,0,0,0,2951,0.021,0.0475,0,2.2995,0,93084,93084,0,0,24,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651290,50.7,29.2,0,0,0,-91.2,0.06,0,0,0,2734,0.018,0.0475,0,2.2995,0,93098,93098,0,0,24,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651321,49,28.8,0,0,0,-89.5,-0.01,0,0,0,2601,0.017,0.0475,0,2.2995,0,93106,93106,0,0,24,0,0,61651320,0.0475,0,2.2995,0,2.688,152.22,0,0,0.565,192.662,192.662,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651346,49.4,28.9,0,0,0,-89.5,0.03,0,0,0,2548,0.017,0.0475,0,2.2995,0,93110,93110,0,0,24,0,0,61651320,0.0475,0,2.2995,0,2.688,152.22,0,0,0.565,192.662,192.662,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651378,49.7,28.8,0,0,0,-88.9,0.04,0,0,0,2385,0.016,0.0475,0,2.2995,0,93117,93117,0,0,24,0,0,61651346,0.0475,0,2.2995,0,2.675,151.451,-0.01,-0.67,0.527,192.687,192.687,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651420,49.2,28.7,0,0,0,-86.8,0.03,0,0,0,2113,0.014,0.0475,0,2.2995,0,93129,93129,0,0,24,0,0,61651378,0.0475,0,2.2995,0,2.66,150.605,0,-0.08,0.493,192.702,192.702,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651446,50,28.5,0,0,0,-84.3,-0.03,0,0,0,2006,0.013,0.0475,0,2.2995,0,93134,93134,0,0,24,0,0,61651420,0.0475,0,2.2995,0,2.657,150.451,-0.01,-0.87,0.437,192.726,192.726,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651477,50.9,28.4,0,0,0,-82,0.02,0,0,0,1885,0.012,0.0475,0,2.2995,0,93139,93139,0,0,24,0,0,61651446,0.0475,0,2.2995,0,2.715,153.721,0,0.23,0.415,192.737,192.737,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651508,49.1,28.6,0,0,0,-81.5,0.07,0,0,0,1807,0.011,0.0475,0,2.2995,0,93142,93142,0,0,24,0,0,61651477,0.0475,0,2.2995,0,2.66,150.605,0,-0.56,0.39,192.747,192.747,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
61651534,49.9,28.6,0,0,0,-80.2,0.07,0,0,0,1647,0.01,0.0475,0,2.2995,0,93147,93147,0,0,24,0,0,61651508,0.0475,0,2.2995,0,2.66,150.605,0,-0.5,0.374,192.753,192.753,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
